term,estimate,std.error,statistic,p.value
diag_3643,-15.580558267511769,2703.0809370222773,-0.0057639999062238075,0.9954010189322263
diag_3644,-15.443570266444892,1505.0306805464359,-0.010261299298455331,0.9918128113935695
diag_3646,-1.1345614052090962,1.0864029942100162,-1.0443283121049374,0.29633351825611354
diag_3647,-14.89997362159028,1068.97010631495,-0.01393862516226465,0.9888789462948663
diag_3648,-0.1909784669641013,0.5088458705846779,-0.3753169240514064,0.7074247810182135
diag_3649,-13.259295299779453,1282.6577629893925,-0.01033736019254039,0.9917521267991936
diag_3652,-14.911203392703612,1420.479548195517,-0.01049730241568477,0.991624518293138
diag_3653,-15.197195284122603,1829.9666300568451,-0.008304629731773046,0.9933739403170263
diag_3654,-15.30686524030429,1036.0144371892713,-0.014774760554333716,0.9882118755442864
diag_3655,-15.238416318395378,1978.395073108259,-0.007702413196194571,0.9938544241964946
diag_3656,-14.99064282572437,1104.269614059338,-0.013575165552747744,0.9891689176640257
diag_3657,0.5044353643668821,4017.4027204216786,1.2556255856618103e-4,0.9998998155733684
diag_3658,-15.110108780708918,1354.9895081536058,-0.011151458140291363,0.9911026081256931
diag_3659,-15.063930270403173,674.1911772857295,-0.022343707212322234,0.9821737842602393
diag_366,-14.726482485671657,3956.1803650819293,-0.003722399164520064,0.9970299620364197
diag_3660,0.9332021401640282,1.2430194725595503,0.7507542405932186,0.4528005731046691
diag_3661,-14.845088968388275,1845.6219557791503,-0.008043407222104297,0.9935823587610212
diag_3663,-14.50849026303754,942.9479273508617,-0.015386311207871262,0.9877239842091851
diag_3664,-15.267889590871668,1019.0094893071091,-0.014983069099045683,0.9880456877693957
diag_3665,-14.378606007932886,1586.164369194785,-0.009065016392489118,0.992767262434936
diag_3669,-0.47930010416640545,4042.466192464654,-1.1856626162015733e-4,0.9999053978106428
diag_3670,-15.56868476762554,2760.7744684898194,-0.005639245416573929,0.9955005569954145
diag_3671,-16.441013884003148,3956.1803862312954,-0.004155779635636143,0.9966841771349519
diag_3674,-15.652576378065175,3956.1803445220753,-0.003956487069589361,0.9968431882881719
diag_3680,-0.06760728141897097,1.0703806442229635,-0.06316190579852093,0.9496375789515414
diag_3681,0.41322583001943897,0.37061252113976817,1.1149807587412843,0.2648586671943232
diag_3682,0.2274904497433099,0.17029964754611454,1.3358245482082338,0.1816066272799727
diag_3684,-15.138482224052376,3956.18034389248,-0.003826539972431501,0.9969468702855656
diag_3685,-14.147491880843594,2229.3522948742034,-0.006346009965931338,0.9949366506105732
diag_3686,0.8773025485561126,0.8147365174643274,1.0767929628176076,0.2815727698911484
diag_3690,-15.407019801886177,2752.2270551856564,-0.005598019165190885,0.9955334502656821
diag_3692,-0.9164258479987255,1.2286829398418313,-0.7458603178104656,0.45575179859083353
